,Control_1,Hot_1,Control_2,Hot_2,pval.heat,padj.heat
isogroup106024,2.53605544068872,2.86907266788295,2.57067167727048,2.53320004802737,0.383259256770443,0.807464806021409
isogroup106030,3.29102190313555,3.23462368688208,3.1398167163685,3.21288760204317,0.973264019380298,0.994527341918792
isogroup106041,2.73246623171247,2.51657958827482,3.88865605046568,2.51502891276519,0.000266815474075931,0.0028526069426821
isogroup106071,3.63299058741024,3.40885854550422,3.22268008256717,3.28918250620543,0.686960329467556,0.942747689303432
isogroup106216,5.32350954176835,5.29242873404729,5.45757316422388,5.41008137027128,0.877391035704496,0.977564636169384
isogroup106223,3.13518402419559,2.89013311983464,2.88542639808074,2.79194501136328,0.342412322093865,0.77962896375623
isogroup106390,9.12714911837796,3.56021946392359,8.40807100674535,3.40565806841897,3.43680931314017e-42,5.10443588616476e-40
isogroup106425,2.87957121693159,2.58723498746668,3.45315773828446,2.5636715070567,0.00138601333821724,0.0133002420802383
isogroup106474,1.47237648123772,1.44704552081478,1.61174268798233,1.3847867969139,0.324810003560218,0.764516282979839
isogroup106494,3.60693991473088,3.70702839441527,3.59053434402681,3.47143244704335,0.993827146201815,0.998824791262049
isogroup106501,3.1540391248062,2.99339035877141,2.95286683352038,2.91116571172955,0.574128434698787,0.906616989889292
isogroup106527,5.75206059801511,5.60748539883487,5.50576190813274,5.33430621712003,0.595540968181011,0.917477246889271
isogroup106600,1.99603294706432,2.23702598736059,2.04533794350532,2.14031096942461,0.225024776726222,0.662532377441647
isogroup106706,3.58465828558486,3.91491161136788,3.66764225257607,3.37289661204381,0.845279266103588,0.972363558991296
isogroup106873,1.96153254703808,2.16943824628975,2.15550126420142,1.98150825913562,0.92842049163231,0.984516571926248
isogroup106991,2.55130379300447,2.84908741990148,2.53217189691839,2.63656658491016,0.207616123622175,0.641807503100539
isogroup107004,4.81375347941471,4.90639640451274,4.8289359847577,4.23001334392364,0.589891644645614,0.914966708314623
isogroup107171,0.349466557931482,0.201877965174926,0.207906274378702,0.217491712397093,0.398871234469371,NA
isogroup107673,3.87401003407565,4.10350774607479,3.76192091759134,3.96146890391,0.342761458012544,0.77962896375623
isogroup1077,0.922113450781698,0.916690922491025,0.908291040273303,0.874069271046407,0.827132260606631,0.97057102481993
isogroup107709,3.11108046452341,3.15431608045731,3.16309837980794,3.12179387163567,0.99906819879004,0.999866672128805
isogroup107836,3.11362542150922,3.10210551151872,3.06444928016968,3.02317470400129,0.888881958678984,0.978086398917302
isogroup107961,4.71962238919667,5.45926534279194,5.18547961256743,4.85992980061059,0.539821549145682,0.89084064656814
isogroup107969,2.49045355759532,2.60583849232326,2.61921950790335,2.57494937335264,0.844609975186283,0.972363558991296
isogroup108029,4.3005584859457,4.82051210041901,4.78029928398121,4.43708339305835,0.817232637991625,0.969259300673237
isogroup108048,3.42168176764846,4.13877622683432,3.31912220867925,3.51175862874012,0.0565382867647815,0.30580386994888
isogroup108136,4.29822432309145,4.86504045641109,4.30806435106935,4.21896080968988,0.356131934776594,0.789386423327628
isogroup108155,2.98099952571573,2.73745431532831,3.97198920511993,2.68171917375868,0.00124544402332471,0.0121135045242071
isogroup108276,3.43369875614165,4.09584927587666,3.71362487011891,3.52357092060428,0.37746898436101,0.805247628904712
isogroup108291,3.61822907530448,4.22388981608251,3.73391500487645,3.75600845530813,0.195496891022342,0.623065168382622
isogroup108317,3.45452093587125,4.09276559729023,3.63917472052688,3.66421232251311,0.180950328322415,0.601077395269661
isogroup108320,1.08687094561152,1.10663260188092,1.07286468619984,1.03796012361808,0.944397110367594,0.989165107696478
isogroup108333,5.39328416567405,5.97707718696817,5.46701349268395,4.88076678534986,0.751866642309128,0.957236484251171
isogroup108367,4.54322752449096,3.03363619931114,5.99452075532633,3.02587902935391,5.50757078356903e-09,8.781219723203e-08
isogroup108468,2.9240030984391,2.98431427303333,2.90387583287592,4.09780949029685,0.0076827286433621,0.0623052780772172
isogroup109125,2.89587552042982,2.8185993499144,2.84788301624823,2.74907012941982,0.604769279890568,0.919057711483511
isogroup109187,3.91002367169967,3.86489526047494,3.874468052723,3.72056554873201,0.665027537149661,0.93552003519196
isogroup109251,4.00761030862835,4.766330181131,4.24052566089439,4.06536400824857,0.29861183506065,0.74095645888168
isogroup109340,2.84006039222797,2.83998403356336,2.8202964055124,4.02705206498729,0.0115727263132702,0.0882306855942595
isogroup10945,3.08995134520185,3.50772705656451,3.2223829003379,3.22424624778595,0.316268575974502,0.75690362903346
isogroup109461,6.28317617778035,5.17484414269005,6.52903493185156,4.57695419667719,4.44236432429974e-05,0.000518307277072933
isogroup109557,4.53576829375861,4.3163391959948,4.27812489662602,4.14651759157054,0.47844605272854,0.859850741071748
isogroup109751,3.70609737395733,4.61583866597427,3.99634067791311,3.91517709680149,0.164695488707458,0.575613700833401
isogroup109862,3.73248619454859,3.52567777110076,3.47132148277651,3.76297037193705,0.861547524538153,0.975633618579551
isogroup109881,2.84835195754381,3.28159627616868,2.88175617953848,2.91707731167666,0.210480249012784,0.645600588376188
isogroup109897,2.75538879631587,3.30065732703575,2.86105507815726,2.92261779102128,0.132658256444712,0.514347134465552
isogroup10994,1.33530169030648,1.27928443457285,1.20513577546906,1.26297607328208,0.994291458039274,0.998919734816076
isogroup109953,3.26095873682798,3.98999620262422,3.4738318719642,3.55192286304355,0.125624899594297,0.497490294189664
isogroup110110,5.54961548902569,5.30339696803066,5.30192988912918,4.41986271314692,0.272783291529294,0.715198733375491
isogroup110244,3.78912740433543,3.97677310803434,4.15119257675478,4.27563821493849,0.604063056990597,0.919057711483511
isogroup11027,1.36104102454399,1.35249731157077,1.34663967648111,1.38701600377585,0.875848302539761,0.977043271702428
isogroup110367,3.94388058751847,4.33436673500619,4.10587076269158,3.97024658864223,0.597656388655373,0.917477246889271
isogroup110489,3.91976600645605,4.86830025008184,4.45649085575466,4.16591070922327,0.375310349995811,0.804037171963313
isogroup11051,0,0,0,0,NA,NA
isogroup110716,3.22512035826792,3.36224409300658,3.32022876607618,3.17403538548778,0.993973850619934,0.998824791262049
isogroup110782,3.35831848602069,3.30476780402491,3.0457806386148,3.23826308010236,0.800816923096782,0.965700034038998
isogroup11079,3.3100490139527,3.0344983112712,3.19255995331962,2.92754967871941,0.153979928269456,0.554987559564987
isogroup110815,4.20365317554189,4.6083579170822,4.45341616310797,4.16429263186723,0.796472010257522,0.964815437042003
isogroup110830,4.08947938310179,3.93900640805357,4.00553256121954,4.00647461841397,0.740533002263704,0.955852224228903
isogroup110866,3.24542253503805,2.72994226597938,3.58591602451977,2.72893766472567,4.24436093280664e-05,0.000495907401405034
isogroup110921,3.02626492759515,2.55118479245222,3.17470160251694,2.5504517198829,0.000166037327727585,0.0018139770609125
isogroup110998,8.35380451274171,3.71840549578108,8.10574214482341,3.13751298140263,7.54422897999906e-05,0.000857161674460816
isogroup111013,7.94188598042303,8.2764487948188,7.87597409640773,8.14871275532715,0.157395025182821,0.561449387947963
isogroup111041,7.85953806999819,3.35884377321815,7.56617676458872,3.2678934530818,1.24851782571264e-28,8.16788288678517e-27
isogroup111051,8.78508262032114,3.32550341254827,8.30350536249683,3.22541118193478,1.25242586175709e-34,1.20043562540275e-32
isogroup111077,8.35276709768367,3.64681017969087,8.06594417753751,3.44542892384661,2.3847132355471e-42,3.57403476374813e-40
isogroup111081,9.09242539800141,3.20303699993697,7.38704431924806,2.94444087381863,9.61765931519325e-20,3.28274806356679e-18
isogroup111093,9.29749604100927,3.31347095555218,8.26779866155973,3.28019926096061,1.68726836838019e-33,1.51175577832151e-31
isogroup111113,7.59377721071667,3.25612931463243,7.50685751412963,3.09075658540811,2.51227357869562e-18,7.72711608551792e-17
isogroup111116,8.58289275597216,3.0254406746653,8.02987213662082,2.99743394678327,2.67919778176556e-17,7.55029993678409e-16
isogroup111124,7.37632863331306,7.43150446607093,6.94049935291387,7.29770336077403,0.493299999539802,0.868397628661312
isogroup111143,7.92323969847755,3.41158465208134,7.9997198431146,3.18430356548409,2.50416185150036e-31,1.94734020206769e-29
isogroup111175,7.21509655677816,3.32615952182737,7.18778038270029,3.30474863261161,3.3512648920404e-23,1.48919010809105e-21
isogroup111186,6.97635106096776,7.04575389157382,7.18847530900475,7.02277850168266,0.824056704541922,0.97057102481993
isogroup111237,8.62352444449899,3.66672991586634,8.25675717810098,3.20458260316697,4.11038658805057e-38,4.98263480077953e-36
isogroup111255,8.61246960069294,4.52040485248568,8.32843988352043,3.57751649734476,1.39097376394687e-20,5.05101177806786e-19
isogroup111286,8.04947469955262,3.41932312576681,7.46589953516041,3.26492767168972,2.15537783735882e-28,1.39895901679911e-26
isogroup111415,5.77986461881904,6.11177796240528,5.79522551495918,6.09987225262846,0.227989465071734,0.665173510365982
isogroup111423,8.66969170822055,3.4508196428103,8.212904843251,3.07511579250567,6.46989372569533e-09,1.0256025765559e-07
isogroup111426,8.55719906707393,3.52251525174564,8.12920300102526,3.091386401002,5.99094491882863e-07,8.22370673870181e-06
isogroup111430,8.01827667445579,3.38734784896133,7.43054872796037,3.08841473383586,9.3324089059621e-24,4.32174419167672e-22
isogroup111459,8.2642349725637,3.60999133311546,7.90492678213323,3.2098064035707,1.03553992306824e-33,9.43199512248784e-32
isogroup111688,7.5138295108979,3.37741805365293,8.37978785558066,3.14614239450405,4.53023790029746e-26,2.52315885217243e-24
isogroup111690,7.12257976950686,7.06879787778524,7.25636660135391,7.42415581938172,0.803983757419112,0.96658839719312
isogroup111716,7.19877962415515,3.38485270288587,7.24638207484415,3.23746737599004,3.89878390828711e-23,1.71859228641768e-21
isogroup111805,9.14282115745489,3.2054820717972,8.16949329858401,3.09968057283141,1.52113532860186e-25,8.14202500887345e-24
isogroup111807,9.00614919469755,4.21018114909389,8.55266100054786,3.28391023116316,3.09180300021843e-06,4.01034337227388e-05
isogroup111818,9.81573663333731,3.12429540092243,8.54007231479105,3.09049729583219,2.06612319230344e-22,8.536868909352e-21
isogroup111882,2.66500880400334,2.32970318820105,2.88957872143838,2.32913491796042,0.000734796978382302,0.00746387121725855
isogroup111929,8.52612047889293,3.28576360009082,7.77880419163592,3.03825322934686,2.15682076042712e-23,9.7151221465578e-22
isogroup111965,8.39132399952714,3.52929955523071,8.27121575575056,3.09992786246838,3.53577958378427e-07,4.9255795995506e-06
isogroup111984,7.48805491886724,7.36096668450075,7.34812850437555,7.35468579302592,0.794683029545852,0.964454094897888
isogroup111991,7.44239927663155,6.41862916786894,6.9832473632522,6.71636931816927,0.0298063177110446,0.191424602175412
isogroup112043,9.66043164202011,3.25416119846887,8.19925205395869,2.99508460693154,3.11173781737725e-24,1.49128225747911e-22
isogroup112147,6.77589469488026,7.0346296968085,6.67860078676478,7.08524876551454,0.181050370892591,0.601288560542962
isogroup112176,8.37144950045622,3.19245547837374,6.65853371361923,2.9437419949554,2.37877070571961e-16,6.32522804104732e-15
isogroup112183,8.96517042289566,3.45905306925693,8.69489870351821,3.07923056145565,2.71316880948172e-10,4.73325936435087e-09
isogroup112258,6.70648652522084,8.81620909555374,7.44726524690346,7.14672817031889,0.0387926256574988,0.234347829457503
isogroup112261,8.74602642704741,3.54289917723047,8.79653409425146,3.18340677129088,7.5668277586017e-45,1.37084310360778e-42
isogroup112312,4.16965728033284,4.10258948814498,4.04473122911823,4.38406588929106,0.565284286718109,0.902218265519165
isogroup112341,6.90347010159709,3.21814963472004,7.08067493352245,3.13191462994424,2.29961877058979e-11,4.40831570371434e-10
isogroup112373,6.66590170721715,7.86876045042379,7.04319837280116,6.66591968209376,0.219322881049364,0.656850966496959
isogroup11241,1.8803137005427,1.94482312434979,2.1200220481622,1.97923192390852,0.776351005293913,0.960617100283423
isogroup112412,7.47952984103435,3.51602662877271,7.26459149997786,3.25079197486036,2.13553164750509e-26,1.21821365885014e-24
