baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
isogroup105016	8.84023941583148	0.688547368185587	1.36139793006233	0.505764958930166	0.613021660373774	0.920406842815863
isogroup105166	9.23469052664953	-0.494129659293096	1.23600438057414	-0.399779860863897	0.68931866525806	0.943387978072527
isogroup105395	8.89925446008297	1.23529641764338	1.69236899334264	0.729921442961159	0.465438204347259	0.853126034285387
isogroup105415	5.2977074180352	-0.255457873777324	1.64870650196263	-0.154944420655359	0.876865133876859	0.977417078911014
isogroup105458	8.41055381506501	0.488896136322964	1.3900146353217	0.351720135817	0.725048158085912	0.95123938772596
isogroup105610	8.73235892135601	1.52311993811661	1.51160223106127	1.00761953562827	0.313637146786802	0.755146332234734
isogroup105656	23.8976217632352	-0.361145717831371	0.901408121414501	-0.400646177077545	0.688680642868866	0.943387978072527
isogroup105702	15.8347224309787	-0.553075413124017	0.985851830063103	-0.561012716372008	0.574788868345369	0.906884739044945
isogroup105713	7.59311335457376	-2.0955616367179	1.35031581848862	-1.55190482702292	0.120684997767887	0.486695908317366
isogroup105813	13.1170072457452	-1.36727519116003	1.92710739196724	-0.709496106371261	0.478016666873711	0.859729004075408
isogroup106024	6.43714437284022	1.54758259772351	1.77494051567182	0.871906739442336	0.383259256770443	0.807464806021409
isogroup106030	9.40493660042249	0.0420753746966045	1.25542461284353	0.033514855664096	0.973264019380298	0.994527341918792
isogroup106041	14.0400012981273	-8.44413107336744	2.31628143641443	-3.64555487110358	0.000266815474075931	0.0028526069426821
isogroup106071	11.2468763818915	-0.540042836125355	1.34011138266079	-0.402983545332702	0.686960329467556	0.942747689303432
isogroup106216	41.5548295698432	-0.0965698808328154	0.625949726634703	-0.154277375200728	0.877391035704496	0.977564636169384
isogroup106223	8.26470952972965	-1.33174483793368	1.4027083958341	-0.949409614919836	0.342412322093865	0.77962896375623
isogroup106390	349.825960244238	-8.30242812034246	0.609971517441923	-13.6111734448862	3.43680931314017e-42	5.10443588616476e-40
isogroup106425	10.4574581220317	-6.55776876836339	2.05087421141782	-3.19754801725741	0.00138601333821724	0.0133002420802383
isogroup106474	3.07134068310115	-2.5570979650713	2.59703637657272	-0.984621543286147	0.324810003560218	0.764516282979839
isogroup106494	12.2654861834401	-0.00897330589541894	1.159851025866	-0.00773660211122289	0.993827146201815	0.998824791262049
isogroup106501	8.39886624032937	-0.756010223427082	1.34525754000153	-0.561981777426962	0.574128434698787	0.906616989889292
isogroup106527	47.9281185242385	-0.33606358346395	0.633098325151819	-0.53082368111361	0.595540968181011	0.917477246889271
isogroup106600	4.26290623705289	2.77788655960452	2.2895774102883	1.21327479347149	0.225024776726222	0.662532377441647
isogroup106706	13.2972566605787	0.269889941075724	1.38302105118785	0.195145215500459	0.845279266103588	0.972363558991296
isogroup106873	4.33672393950202	0.207792565651409	2.31311676037541	0.0898322856895837	0.92842049163231	0.984516571926248
isogroup106991	6.35716245481538	2.2181194648492	1.76020608585032	1.26014759446629	0.207616123622175	0.641807503100539
isogroup107004	28.0946626264726	-0.551160598410779	1.02257457734855	-0.538993057934113	0.589891644645614	0.914966708314623
isogroup107171	1.37746615264215	-3.5147437705895	4.16617095203443	-0.843638873933671	0.398871234469371	NA
isogroup107673	15.3330739331684	0.99337430546324	1.04706451962895	0.948723108118745	0.342761458012544	0.77962896375623
isogroup1077	1.91006235901671	-0.533706702742717	2.44392451371631	-0.218381009620934	0.827132260606631	0.97057102481993
isogroup107709	8.80003503701567	0.00146555379033984	1.25492697802692	0.00116783989507029	0.99906819879004	0.999866672128805
isogroup107836	8.50730020509738	-0.178893296248175	1.28037852315781	-0.139719069800522	0.888881958678984	0.978086398917302
isogroup107961	35.486260102001	0.563044764441816	0.918382809366817	0.613082865553646	0.539821549145682	0.89084064656814
isogroup107969	5.93180588650049	0.309367559612704	1.57840395318411	0.196000243783359	0.844609975186283	0.972363558991296
isogroup108029	25.1359131748495	0.232867316913046	1.00762228418428	0.231105763109997	0.817232637991625	0.969259300673237
isogroup108048	14.054059716492	2.83519665721674	1.48683788732096	1.90686333822533	0.0565382867647815	0.30580386994888
isogroup108136	23.0662715683224	0.972663083804206	1.05407946260703	0.922760682006407	0.356131934776594	0.789386423327628
isogroup108155	14.4036331435604	-6.00029910319324	1.85867727055925	-3.22826302243845	0.00124544402332471	0.0121135045242071
isogroup108276	14.1697237803646	1.26127914098032	1.42909915634283	0.882569369229791	0.37746898436101	0.805247628904712
isogroup108291	15.2272396321211	1.59276605814806	1.2304215911933	1.29448805966038	0.195496891022342	0.623065168382622
isogroup108317	14.0292114661664	1.77088086615148	1.32369183520631	1.33783469766245	0.180950328322415	0.601077395269661
isogroup108320	2.13533509208437	-0.167049339234438	2.3951652789984	-0.0697443891238661	0.944397110367594	0.989165107696478
isogroup108333	48.0819139441962	0.295116446144486	0.933384067857263	0.316179005306973	0.751866642309128	0.957236484251171
isogroup108367	48.4684672272377	-10.229233858632	1.7542660023265	-5.83106201970856	5.50757078356903e-09	8.781219723203e-08
isogroup108468	13.9368198663936	6.07663104794232	2.27955949860695	2.66570407644801	0.0076827286433621	0.0623052780772172
